yeva ева
bsiya бция
    bsion бцион
    ksiya кция
    ksion кцион
    nsiya нция
    nsion нцион
    rsiya рция
    rsion рцион
    psiya пция
    psion пцион
    tsiya ция
    tsist цист
    tsizm цизм
    tsit цит
    tsevt цевт
    tsept цепт
    tser цер
    tsia циа
    sia циа
    tsikl цикл
    tsio цио
    tsiu циу
    siu циу
